,feature_preprocessor_type,feature_preprocessor_hyperparams,regressor,regressor_hyperparams,data_preprocessor_type,data_preprocessor_hyperparams,R2,R2normalized,ENSEMBLE WEIGHT,ENSEMBLE WEIGHT normalized,MEAN FIT TIME,MEAN FIT TIME normalized
0,extra_trees_preproc_for_regression,"{'bootstrap': {'type': 'VALUE', 'data': 'True'}, 'criterion': {'type': 'VALUE', 'data': 'mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.9803503992660709}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_samples_leaf': {'type': 'VALUE', 'data': 1}, 'min_samples_split': {'type': 'VALUE', 'data': 14}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}, 'n_estimators': {'type': 'VALUE', 'data': 100}}",gradient_boosting,"{'early_stop': {'type': 'VALUE', 'data': 'off'}, 'l2_regularization': {'type': 'VALUE', 'data': 9.899169224844948e-10}, 'learning_rate': {'type': 'VALUE', 'data': 0.011205562042271461}, 'loss': {'type': 'VALUE', 'data': 'least_squares'}, 'max_bins': {'type': 'VALUE', 'data': 255}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 17}, 'min_samples_leaf': {'type': 'VALUE', 'data': 15}, 'scoring': {'type': 'VALUE', 'data': 'loss'}, 'tol': {'type': 'VALUE', 'data': 1e-07}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'none'}}",0.8368079364588646,0.8368079364588646,0.38,0.38,7.569236993789673,7.569236993789673
1,extra_trees_preproc_for_regression,"{'bootstrap': {'type': 'VALUE', 'data': 'True'}, 'criterion': {'type': 'VALUE', 'data': 'friedman_mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.9995472656280614}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_samples_leaf': {'type': 'VALUE', 'data': 8}, 'min_samples_split': {'type': 'VALUE', 'data': 17}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}, 'n_estimators': {'type': 'VALUE', 'data': 100}}",random_forest,"{'bootstrap': {'type': 'VALUE', 'data': 'True'}, 'criterion': {'type': 'VALUE', 'data': 'mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.9107738072656358}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_impurity_decrease': {'type': 'VALUE', 'data': 0.0}, 'min_samples_leaf': {'type': 'VALUE', 'data': 4}, 'min_samples_split': {'type': 'VALUE', 'data': 2}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'quantile_transformer'}, 'numerical_transformer_rescaling_quantile_transformer_n_quantiles': {'type': 'VALUE', 'data': 1114}, 'numerical_transformer_rescaling_quantile_transformer_output_distribution': {'type': 'VALUE', 'data': 'normal'}}",0.8366445309367055,0.8366445309367055,0.0,0.0,12.242305517196655,12.242305517196655
2,extra_trees_preproc_for_regression,"{'bootstrap': {'type': 'VALUE', 'data': 'True'}, 'criterion': {'type': 'VALUE', 'data': 'friedman_mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 1.0}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_samples_leaf': {'type': 'VALUE', 'data': 10}, 'min_samples_split': {'type': 'VALUE', 'data': 10}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}, 'n_estimators': {'type': 'VALUE', 'data': 100}}",gradient_boosting,"{'early_stop': {'type': 'VALUE', 'data': 'valid'}, 'l2_regularization': {'type': 'VALUE', 'data': 0.008455447774980772}, 'learning_rate': {'type': 'VALUE', 'data': 0.011404335367923096}, 'loss': {'type': 'VALUE', 'data': 'least_squares'}, 'max_bins': {'type': 'VALUE', 'data': 255}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 19}, 'min_samples_leaf': {'type': 'VALUE', 'data': 15}, 'scoring': {'type': 'VALUE', 'data': 'loss'}, 'tol': {'type': 'VALUE', 'data': 1e-07}, 'n_iter_no_change': {'type': 'VALUE', 'data': 14}, 'validation_fraction': {'type': 'VALUE', 'data': 0.1}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.8033744332610948}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.22595940997527353}}",0.8362145463676239,0.8362145463676239,0.0,0.0,7.678962469100952,7.678962469100952
3,select_percentile_regression,"{'percentile': {'type': 'VALUE', 'data': 44.7136959625311}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",random_forest,"{'bootstrap': {'type': 'VALUE', 'data': 'True'}, 'criterion': {'type': 'VALUE', 'data': 'mae'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.9402498596242336}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_impurity_decrease': {'type': 'VALUE', 'data': 0.0}, 'min_samples_leaf': {'type': 'VALUE', 'data': 3}, 'min_samples_split': {'type': 'VALUE', 'data': 3}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.8351331877900491,0.8351331877900491,0.0,0.0,13.785995483398438,13.785995483398438
4,extra_trees_preproc_for_regression,"{'bootstrap': {'type': 'VALUE', 'data': 'True'}, 'criterion': {'type': 'VALUE', 'data': 'mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.9658243087466322}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_samples_leaf': {'type': 'VALUE', 'data': 11}, 'min_samples_split': {'type': 'VALUE', 'data': 10}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}, 'n_estimators': {'type': 'VALUE', 'data': 100}}",gradient_boosting,"{'early_stop': {'type': 'VALUE', 'data': 'off'}, 'l2_regularization': {'type': 'VALUE', 'data': 0.0020300190294353254}, 'learning_rate': {'type': 'VALUE', 'data': 0.011427274770054176}, 'loss': {'type': 'VALUE', 'data': 'least_squares'}, 'max_bins': {'type': 'VALUE', 'data': 255}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 193}, 'min_samples_leaf': {'type': 'VALUE', 'data': 14}, 'scoring': {'type': 'VALUE', 'data': 'loss'}, 'tol': {'type': 'VALUE', 'data': 1e-07}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.7434142580296459}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.25}}",0.834703524347662,0.834703524347662,0.0,0.0,7.8772501945495605,7.8772501945495605
5,,,random_forest,"{'bootstrap': {'type': 'VALUE', 'data': 'True'}, 'criterion': {'type': 'VALUE', 'data': 'mae'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.7197449535558462}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_impurity_decrease': {'type': 'VALUE', 'data': 0.0}, 'min_samples_leaf': {'type': 'VALUE', 'data': 4}, 'min_samples_split': {'type': 'VALUE', 'data': 17}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.833765939520607,0.833765939520607,0.0,0.0,14.665753602981567,14.665753602981567
6,extra_trees_preproc_for_regression,"{'bootstrap': {'type': 'VALUE', 'data': 'False'}, 'criterion': {'type': 'VALUE', 'data': 'mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.9794163449699926}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_samples_leaf': {'type': 'VALUE', 'data': 1}, 'min_samples_split': {'type': 'VALUE', 'data': 14}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}, 'n_estimators': {'type': 'VALUE', 'data': 100}}",random_forest,"{'bootstrap': {'type': 'VALUE', 'data': 'False'}, 'criterion': {'type': 'VALUE', 'data': 'mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.9311385598057453}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_impurity_decrease': {'type': 'VALUE', 'data': 0.0}, 'min_samples_leaf': {'type': 'VALUE', 'data': 4}, 'min_samples_split': {'type': 'VALUE', 'data': 2}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.7499442144903237}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.15790122452564428}}",0.8335375706000223,0.8335375706000223,0.0,0.0,9.797192335128784,9.797192335128784
7,extra_trees_preproc_for_regression,"{'bootstrap': {'type': 'VALUE', 'data': 'True'}, 'criterion': {'type': 'VALUE', 'data': 'mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 1.0}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_samples_leaf': {'type': 'VALUE', 'data': 15}, 'min_samples_split': {'type': 'VALUE', 'data': 16}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}, 'n_estimators': {'type': 'VALUE', 'data': 100}}",gradient_boosting,"{'early_stop': {'type': 'VALUE', 'data': 'off'}, 'l2_regularization': {'type': 'VALUE', 'data': 0.18217308738114024}, 'learning_rate': {'type': 'VALUE', 'data': 0.011319998334662374}, 'loss': {'type': 'VALUE', 'data': 'least_squares'}, 'max_bins': {'type': 'VALUE', 'data': 255}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 156}, 'min_samples_leaf': {'type': 'VALUE', 'data': 17}, 'scoring': {'type': 'VALUE', 'data': 'loss'}, 'tol': {'type': 'VALUE', 'data': 1e-07}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.9582044646905821}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.15514810487192185}}",0.8334950371547665,0.8334950371547665,0.0,0.0,7.55168890953064,7.55168890953064
8,extra_trees_preproc_for_regression,"{'bootstrap': {'type': 'VALUE', 'data': 'True'}, 'criterion': {'type': 'VALUE', 'data': 'mae'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 1.0}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_samples_leaf': {'type': 'VALUE', 'data': 2}, 'min_samples_split': {'type': 'VALUE', 'data': 13}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}, 'n_estimators': {'type': 'VALUE', 'data': 100}}",gradient_boosting,"{'early_stop': {'type': 'VALUE', 'data': 'valid'}, 'l2_regularization': {'type': 'VALUE', 'data': 3.028358496632655e-09}, 'learning_rate': {'type': 'VALUE', 'data': 0.01111504098802867}, 'loss': {'type': 'VALUE', 'data': 'least_squares'}, 'max_bins': {'type': 'VALUE', 'data': 255}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 34}, 'min_samples_leaf': {'type': 'VALUE', 'data': 9}, 'scoring': {'type': 'VALUE', 'data': 'loss'}, 'tol': {'type': 'VALUE', 'data': 1e-07}, 'n_iter_no_change': {'type': 'VALUE', 'data': 11}, 'validation_fraction': {'type': 'VALUE', 'data': 0.1}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.726114306419962}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.29192046743361594}}",0.8327329878655414,0.8327329878655414,0.0,0.0,7.744762420654297,7.744762420654297
9,CustomFeatureAgglomeration,"{'affinity': {'type': 'VALUE', 'data': 'cosine'}, 'linkage': {'type': 'VALUE', 'data': 'complete'}, 'n_clusters': {'type': 'VALUE', 'data': 18}, 'pooling_func': {'type': 'VALUE', 'data': 'max'}}",decision_tree,"{'criterion': {'type': 'VALUE', 'data': 'friedman_mse'}, 'max_depth_factor': {'type': 'VALUE', 'data': 1.2684059232623983}, 'max_features': {'type': 'VALUE', 'data': 1.0}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_impurity_decrease': {'type': 'VALUE', 'data': 0.0}, 'min_samples_leaf': {'type': 'VALUE', 'data': 6}, 'min_samples_split': {'type': 'VALUE', 'data': 12}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'normalize'}}",0.8326846691775452,0.8326846691775452,0.24,0.24,3.799813747406006,3.799813747406006
