,feature_preprocessor_type,feature_preprocessor_hyperparams,regressor,regressor_hyperparams,data_preprocessor_type,data_preprocessor_hyperparams,R2,R2normalized,ENSEMBLE WEIGHT,ENSEMBLE WEIGHT normalized,MEAN FIT TIME,MEAN FIT TIME normalized
0,select_rates_regression,"{'alpha': {'type': 'VALUE', 'data': 0.09173073356337112}, 'mode': {'type': 'VALUE', 'data': 'fdr'}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",sgd,"{'alpha': {'type': 'VALUE', 'data': 1.0982062765094723e-06}, 'average': {'type': 'VALUE', 'data': 'False'}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'learning_rate': {'type': 'VALUE', 'data': 'constant'}, 'loss': {'type': 'VALUE', 'data': 'squared_loss'}, 'penalty': {'type': 'VALUE', 'data': 'elasticnet'}, 'tol': {'type': 'VALUE', 'data': 0.00012368854429099617}, 'eta0': {'type': 'VALUE', 'data': 0.0006602351945114225}, 'l1_ratio': {'type': 'VALUE', 'data': 0.22396743587533455}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.5484070571899373,0.5484070571899373,0.0,0.0,5.1406519412994385,5.1406519412994385
1,select_rates_regression,"{'alpha': {'type': 'VALUE', 'data': 0.10541000835288258}, 'mode': {'type': 'VALUE', 'data': 'fdr'}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",sgd,"{'alpha': {'type': 'VALUE', 'data': 0.0017723359317939097}, 'average': {'type': 'VALUE', 'data': 'True'}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'learning_rate': {'type': 'VALUE', 'data': 'invscaling'}, 'loss': {'type': 'VALUE', 'data': 'squared_epsilon_insensitive'}, 'penalty': {'type': 'VALUE', 'data': 'elasticnet'}, 'tol': {'type': 'VALUE', 'data': 0.00021855429702811777}, 'epsilon': {'type': 'VALUE', 'data': 0.08662292614237367}, 'eta0': {'type': 'VALUE', 'data': 0.0004328985775087885}, 'l1_ratio': {'type': 'VALUE', 'data': 0.2108153751876449}, 'power_t': {'type': 'VALUE', 'data': 0.35463395089659505}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'quantile_transformer'}, 'numerical_transformer_rescaling_quantile_transformer_n_quantiles': {'type': 'VALUE', 'data': 926}, 'numerical_transformer_rescaling_quantile_transformer_output_distribution': {'type': 'VALUE', 'data': 'normal'}}",0.5441042165963866,0.5441042165963866,0.0,0.0,4.39704155921936,4.39704155921936
2,select_rates_regression,"{'alpha': {'type': 'VALUE', 'data': 0.10541000835288258}, 'mode': {'type': 'VALUE', 'data': 'fwe'}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",sgd,"{'alpha': {'type': 'VALUE', 'data': 0.004571243110052398}, 'average': {'type': 'VALUE', 'data': 'True'}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'learning_rate': {'type': 'VALUE', 'data': 'invscaling'}, 'loss': {'type': 'VALUE', 'data': 'squared_epsilon_insensitive'}, 'penalty': {'type': 'VALUE', 'data': 'l1'}, 'tol': {'type': 'VALUE', 'data': 0.00021855429702811777}, 'epsilon': {'type': 'VALUE', 'data': 0.08676622004735654}, 'eta0': {'type': 'VALUE', 'data': 0.0004328985775087885}, 'power_t': {'type': 'VALUE', 'data': 0.3506967439849104}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'quantile_transformer'}, 'numerical_transformer_rescaling_quantile_transformer_n_quantiles': {'type': 'VALUE', 'data': 836}, 'numerical_transformer_rescaling_quantile_transformer_output_distribution': {'type': 'VALUE', 'data': 'normal'}}",0.5440941829933041,0.5440941829933041,0.0,0.0,3.48860502243042,3.48860502243042
3,select_rates_regression,"{'alpha': {'type': 'VALUE', 'data': 0.10709255196381769}, 'mode': {'type': 'VALUE', 'data': 'fdr'}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",sgd,"{'alpha': {'type': 'VALUE', 'data': 0.01233173758108006}, 'average': {'type': 'VALUE', 'data': 'True'}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'learning_rate': {'type': 'VALUE', 'data': 'invscaling'}, 'loss': {'type': 'VALUE', 'data': 'squared_epsilon_insensitive'}, 'penalty': {'type': 'VALUE', 'data': 'elasticnet'}, 'tol': {'type': 'VALUE', 'data': 9.545391391141556e-05}, 'epsilon': {'type': 'VALUE', 'data': 0.0870570462018776}, 'eta0': {'type': 'VALUE', 'data': 0.0006624121580521309}, 'l1_ratio': {'type': 'VALUE', 'data': 0.0008074287342885282}, 'power_t': {'type': 'VALUE', 'data': 0.2750739873824922}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'quantile_transformer'}, 'numerical_transformer_rescaling_quantile_transformer_n_quantiles': {'type': 'VALUE', 'data': 710}, 'numerical_transformer_rescaling_quantile_transformer_output_distribution': {'type': 'VALUE', 'data': 'normal'}}",0.5436626922486847,0.5436626922486847,0.0,0.0,3.973165512084961,3.973165512084961
4,select_rates_regression,"{'alpha': {'type': 'VALUE', 'data': 0.1150198624115702}, 'mode': {'type': 'VALUE', 'data': 'fwe'}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",sgd,"{'alpha': {'type': 'VALUE', 'data': 0.00019463794263587092}, 'average': {'type': 'VALUE', 'data': 'True'}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'learning_rate': {'type': 'VALUE', 'data': 'invscaling'}, 'loss': {'type': 'VALUE', 'data': 'squared_epsilon_insensitive'}, 'penalty': {'type': 'VALUE', 'data': 'elasticnet'}, 'tol': {'type': 'VALUE', 'data': 0.00012611101905302092}, 'epsilon': {'type': 'VALUE', 'data': 0.08629556073758478}, 'eta0': {'type': 'VALUE', 'data': 0.0007178723440192188}, 'l1_ratio': {'type': 'VALUE', 'data': 0.03437379863741714}, 'power_t': {'type': 'VALUE', 'data': 0.2217687915872304}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'quantile_transformer'}, 'numerical_transformer_rescaling_quantile_transformer_n_quantiles': {'type': 'VALUE', 'data': 754}, 'numerical_transformer_rescaling_quantile_transformer_output_distribution': {'type': 'VALUE', 'data': 'normal'}}",0.5396348190904486,0.5396348190904486,0.0,0.0,3.5184309482574463,3.5184309482574463
5,select_rates_regression,"{'alpha': {'type': 'VALUE', 'data': 0.08767203358485835}, 'mode': {'type': 'VALUE', 'data': 'fpr'}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",sgd,"{'alpha': {'type': 'VALUE', 'data': 4.647799935070172e-07}, 'average': {'type': 'VALUE', 'data': 'True'}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'learning_rate': {'type': 'VALUE', 'data': 'constant'}, 'loss': {'type': 'VALUE', 'data': 'squared_loss'}, 'penalty': {'type': 'VALUE', 'data': 'l1'}, 'tol': {'type': 'VALUE', 'data': 1.3811841182071676e-05}, 'eta0': {'type': 'VALUE', 'data': 0.002344314591009662}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'minmax'}}",0.5388037741153252,0.5388037741153252,0.0,0.0,4.544807195663452,4.544807195663452
6,select_percentile_regression,"{'percentile': {'type': 'VALUE', 'data': 52.27638912977574}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",sgd,"{'alpha': {'type': 'VALUE', 'data': 3.216129877285368e-07}, 'average': {'type': 'VALUE', 'data': 'True'}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'learning_rate': {'type': 'VALUE', 'data': 'invscaling'}, 'loss': {'type': 'VALUE', 'data': 'squared_loss'}, 'penalty': {'type': 'VALUE', 'data': 'elasticnet'}, 'tol': {'type': 'VALUE', 'data': 3.0462493299590047e-05}, 'eta0': {'type': 'VALUE', 'data': 0.0011762770812479434}, 'l1_ratio': {'type': 'VALUE', 'data': 0.2875000894177582}, 'power_t': {'type': 'VALUE', 'data': 0.22304541133884687}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'quantile_transformer'}, 'numerical_transformer_rescaling_quantile_transformer_n_quantiles': {'type': 'VALUE', 'data': 632}, 'numerical_transformer_rescaling_quantile_transformer_output_distribution': {'type': 'VALUE', 'data': 'normal'}}",0.5373180612123891,0.5373180612123891,0.0,0.0,3.6788039207458496,3.6788039207458496
7,select_rates_regression,"{'alpha': {'type': 'VALUE', 'data': 0.08602233674360421}, 'mode': {'type': 'VALUE', 'data': 'fdr'}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",sgd,"{'alpha': {'type': 'VALUE', 'data': 8.198589752963717e-07}, 'average': {'type': 'VALUE', 'data': 'True'}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'learning_rate': {'type': 'VALUE', 'data': 'invscaling'}, 'loss': {'type': 'VALUE', 'data': 'squared_loss'}, 'penalty': {'type': 'VALUE', 'data': 'l1'}, 'tol': {'type': 'VALUE', 'data': 1.361116421283001e-05}, 'eta0': {'type': 'VALUE', 'data': 0.001163316895972038}, 'power_t': {'type': 'VALUE', 'data': 0.0018098006955850553}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'power_transformer'}}",0.5367793310873228,0.5367793310873228,0.0,0.0,5.3085339069366455,5.3085339069366455
8,select_rates_regression,"{'alpha': {'type': 'VALUE', 'data': 0.09174475057344889}, 'mode': {'type': 'VALUE', 'data': 'fpr'}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",sgd,"{'alpha': {'type': 'VALUE', 'data': 7.937854093084403e-07}, 'average': {'type': 'VALUE', 'data': 'True'}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'learning_rate': {'type': 'VALUE', 'data': 'constant'}, 'loss': {'type': 'VALUE', 'data': 'squared_loss'}, 'penalty': {'type': 'VALUE', 'data': 'l1'}, 'tol': {'type': 'VALUE', 'data': 2.4013974165965602e-05}, 'eta0': {'type': 'VALUE', 'data': 0.0012198170732275872}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'power_transformer'}}",0.5363514871510785,0.5363514871510785,0.0,0.0,3.490676164627075,3.490676164627075
9,select_rates_regression,"{'alpha': {'type': 'VALUE', 'data': 0.1}, 'mode': {'type': 'VALUE', 'data': 'fwe'}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",sgd,"{'alpha': {'type': 'VALUE', 'data': 0.08944586949878909}, 'average': {'type': 'VALUE', 'data': 'True'}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'learning_rate': {'type': 'VALUE', 'data': 'invscaling'}, 'loss': {'type': 'VALUE', 'data': 'squared_epsilon_insensitive'}, 'penalty': {'type': 'VALUE', 'data': 'l1'}, 'tol': {'type': 'VALUE', 'data': 0.0001705605940233837}, 'epsilon': {'type': 'VALUE', 'data': 0.0997216716442099}, 'eta0': {'type': 'VALUE', 'data': 0.0005609302116225758}, 'power_t': {'type': 'VALUE', 'data': 0.325629339041604}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'quantile_transformer'}, 'numerical_transformer_rescaling_quantile_transformer_n_quantiles': {'type': 'VALUE', 'data': 709}, 'numerical_transformer_rescaling_quantile_transformer_output_distribution': {'type': 'VALUE', 'data': 'normal'}}",0.5363307273898454,0.5363307273898454,0.0,0.0,3.7232730388641357,3.7232730388641357
