,feature_preprocessor_type,feature_preprocessor_hyperparams,regressor,regressor_hyperparams,data_preprocessor_type,data_preprocessor_hyperparams,R2,R2normalized,ENSEMBLE WEIGHT,ENSEMBLE WEIGHT normalized,MEAN FIT TIME,MEAN FIT TIME normalized
0,select_percentile_regression,"{'percentile': {'type': 'VALUE', 'data': 18.630339040767723}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",random_forest,"{'bootstrap': {'type': 'VALUE', 'data': 'False'}, 'criterion': {'type': 'VALUE', 'data': 'friedman_mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.49024184071789956}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_impurity_decrease': {'type': 'VALUE', 'data': 0.0}, 'min_samples_leaf': {'type': 'VALUE', 'data': 7}, 'min_samples_split': {'type': 'VALUE', 'data': 18}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'none'}}",0.28876614435459425,0.28876614435459425,0.02,0.02,6.23851203918457,6.23851203918457
1,extra_trees_preproc_for_regression,"{'bootstrap': {'type': 'VALUE', 'data': 'False'}, 'criterion': {'type': 'VALUE', 'data': 'mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.9954693766494344}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_samples_leaf': {'type': 'VALUE', 'data': 4}, 'min_samples_split': {'type': 'VALUE', 'data': 7}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}, 'n_estimators': {'type': 'VALUE', 'data': 100}}",mlp,"{'activation': {'type': 'VALUE', 'data': 'relu'}, 'alpha': {'type': 'VALUE', 'data': 1.8717856827681902e-05}, 'batch_size': {'type': 'VALUE', 'data': 'auto'}, 'beta_1': {'type': 'VALUE', 'data': 0.9}, 'beta_2': {'type': 'VALUE', 'data': 0.999}, 'early_stopping': {'type': 'VALUE', 'data': 'train'}, 'epsilon': {'type': 'VALUE', 'data': 1e-08}, 'hidden_layer_depth': {'type': 'VALUE', 'data': 3}, 'learning_rate_init': {'type': 'VALUE', 'data': 0.0004899298423230862}, 'n_iter_no_change': {'type': 'VALUE', 'data': 32}, 'num_nodes_per_layer': {'type': 'VALUE', 'data': 128}, 'shuffle': {'type': 'VALUE', 'data': 'True'}, 'solver': {'type': 'VALUE', 'data': 'adam'}, 'tol': {'type': 'VALUE', 'data': 0.0001}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'normalize'}}",0.2791343027257889,0.2791343027257889,0.1,0.1,13.717554092407227,13.717554092407227
2,extra_trees_preproc_for_regression,"{'bootstrap': {'type': 'VALUE', 'data': 'False'}, 'criterion': {'type': 'VALUE', 'data': 'friedman_mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.99480549847272}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_samples_leaf': {'type': 'VALUE', 'data': 14}, 'min_samples_split': {'type': 'VALUE', 'data': 17}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}, 'n_estimators': {'type': 'VALUE', 'data': 100}}",random_forest,"{'bootstrap': {'type': 'VALUE', 'data': 'False'}, 'criterion': {'type': 'VALUE', 'data': 'friedman_mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.6648614589186875}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_impurity_decrease': {'type': 'VALUE', 'data': 0.0}, 'min_samples_leaf': {'type': 'VALUE', 'data': 8}, 'min_samples_split': {'type': 'VALUE', 'data': 3}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.8560363286324211}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.1802526539784723}}",0.2703799372131238,0.2703799372131238,0.0,0.0,10.784005641937256,10.784005641937256
3,select_rates_regression,"{'alpha': {'type': 'VALUE', 'data': 0.10201868751502319}, 'mode': {'type': 'VALUE', 'data': 'fwe'}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",liblinear_svr,"{'C': {'type': 'VALUE', 'data': 5.147811701576068}, 'dual': {'type': 'VALUE', 'data': 'False'}, 'epsilon': {'type': 'VALUE', 'data': 0.1399774783846639}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'intercept_scaling': {'type': 'VALUE', 'data': 1}, 'loss': {'type': 'VALUE', 'data': 'squared_epsilon_insensitive'}, 'tol': {'type': 'VALUE', 'data': 0.00013034519199755823}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.860072883126928}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.25670098395500646}}",0.26625076071476506,0.26625076071476506,0.12,0.12,4.439584255218506,4.439584255218506
4,select_percentile_regression,"{'percentile': {'type': 'VALUE', 'data': 50.0}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",random_forest,"{'bootstrap': {'type': 'VALUE', 'data': 'False'}, 'criterion': {'type': 'VALUE', 'data': 'friedman_mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.9955200843399947}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_impurity_decrease': {'type': 'VALUE', 'data': 0.0}, 'min_samples_leaf': {'type': 'VALUE', 'data': 6}, 'min_samples_split': {'type': 'VALUE', 'data': 15}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.7088849452467341}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.2846892987018524}}",0.26389103685187754,0.26389103685187754,0.04,0.04,9.162983894348145,9.162983894348145
5,,,extra_trees,"{'bootstrap': {'type': 'VALUE', 'data': 'False'}, 'criterion': {'type': 'VALUE', 'data': 'mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.6115940405909607}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_impurity_decrease': {'type': 'VALUE', 'data': 0.0}, 'min_samples_leaf': {'type': 'VALUE', 'data': 8}, 'min_samples_split': {'type': 'VALUE', 'data': 4}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.8137900850160076}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.15284914973087976}}",0.2638511545344169,0.2638511545344169,0.0,0.0,10.598047256469727,10.598047256469727
6,random_trees_embedding,"{'bootstrap': {'type': 'VALUE', 'data': 'False'}, 'max_depth': {'type': 'VALUE', 'data': 8}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_samples_leaf': {'type': 'VALUE', 'data': 12}, 'min_samples_split': {'type': 'VALUE', 'data': 16}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 1.0}, 'n_estimators': {'type': 'VALUE', 'data': 29}}",random_forest,"{'bootstrap': {'type': 'VALUE', 'data': 'True'}, 'criterion': {'type': 'VALUE', 'data': 'mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.4177138599933615}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_impurity_decrease': {'type': 'VALUE', 'data': 0.0}, 'min_samples_leaf': {'type': 'VALUE', 'data': 1}, 'min_samples_split': {'type': 'VALUE', 'data': 13}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'most_frequent'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'normalize'}}",0.26384567566527495,0.26384567566527495,0.0,0.0,12.13924264907837,12.13924264907837
7,extra_trees_preproc_for_regression,"{'bootstrap': {'type': 'VALUE', 'data': 'True'}, 'criterion': {'type': 'VALUE', 'data': 'mae'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.8858568355919786}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_samples_leaf': {'type': 'VALUE', 'data': 7}, 'min_samples_split': {'type': 'VALUE', 'data': 17}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}, 'n_estimators': {'type': 'VALUE', 'data': 100}}",ard_regression,"{'alpha_1': {'type': 'VALUE', 'data': 0.0004112946761487385}, 'alpha_2': {'type': 'VALUE', 'data': 0.00011330646243113707}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'lambda_1': {'type': 'VALUE', 'data': 3.898414955565664e-06}, 'lambda_2': {'type': 'VALUE', 'data': 1.080708688627316e-06}, 'n_iter': {'type': 'VALUE', 'data': 300}, 'threshold_lambda': {'type': 'VALUE', 'data': 55772.34958141504}, 'tol': {'type': 'VALUE', 'data': 5.495652863252286e-05}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'median'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'none'}}",0.2637048840799999,0.2637048840799999,0.0,0.0,6.981301307678223,6.981301307678223
8,extra_trees_preproc_for_regression,"{'bootstrap': {'type': 'VALUE', 'data': 'False'}, 'criterion': {'type': 'VALUE', 'data': 'mse'}, 'max_depth': {'type': 'VALUE', 'data': 'None'}, 'max_features': {'type': 'VALUE', 'data': 0.9837399221550852}, 'max_leaf_nodes': {'type': 'VALUE', 'data': 'None'}, 'min_samples_leaf': {'type': 'VALUE', 'data': 6}, 'min_samples_split': {'type': 'VALUE', 'data': 19}, 'min_weight_fraction_leaf': {'type': 'VALUE', 'data': 0.0}, 'n_estimators': {'type': 'VALUE', 'data': 100}}",ard_regression,"{'alpha_1': {'type': 'VALUE', 'data': 3.212985435592287e-05}, 'alpha_2': {'type': 'VALUE', 'data': 1.4085103465100345e-06}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'lambda_1': {'type': 'VALUE', 'data': 1.0000000000000004e-06}, 'lambda_2': {'type': 'VALUE', 'data': 1.0000000000000004e-06}, 'n_iter': {'type': 'VALUE', 'data': 300}, 'threshold_lambda': {'type': 'VALUE', 'data': 10000.00000000001}, 'tol': {'type': 'VALUE', 'data': 0.0010000000000000002}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.7525631484099372}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.24083109457801524}}",0.2608836399236154,0.2608836399236154,0.0,0.0,6.852150201797485,6.852150201797485
9,select_rates_regression,"{'alpha': {'type': 'VALUE', 'data': 0.10697911533776853}, 'mode': {'type': 'VALUE', 'data': 'fwe'}, 'score_func': {'type': 'VALUE', 'data': 'f_regression'}}",liblinear_svr,"{'C': {'type': 'VALUE', 'data': 5.130101470820839}, 'dual': {'type': 'VALUE', 'data': 'False'}, 'epsilon': {'type': 'VALUE', 'data': 0.1445811055849004}, 'fit_intercept': {'type': 'VALUE', 'data': 'True'}, 'intercept_scaling': {'type': 'VALUE', 'data': 1}, 'loss': {'type': 'VALUE', 'data': 'squared_epsilon_insensitive'}, 'tol': {'type': 'VALUE', 'data': 0.00010745745688872081}}",feature_type,"{'numerical_transformer_imputation_strategy': {'type': 'VALUE', 'data': 'mean'}, 'numerical_transformer_rescaling': {'type': 'VALUE', 'data': 'robust_scaler'}, 'numerical_transformer_rescaling_robust_scaler_q_max': {'type': 'VALUE', 'data': 0.9111369180283057}, 'numerical_transformer_rescaling_robust_scaler_q_min': {'type': 'VALUE', 'data': 0.1062440157204252}}",0.2607673939749684,0.2607673939749684,0.0,0.0,4.190088748931885,4.190088748931885
