,Fiber,Brand,biscuitIDs,custardIDs,Reference,Insoluble fiber,Soluble fiber,Protein,Carbs,Fat,Water,Ash,Oil retention capacity,Exp. oil retention,Water retention capacity,Exp. Water retention final,Bulk density,Tapped density,Average bioaccessibility crème,Average bioaccessibility biscuit,Biscuit breaking point,Correction size mold cut,Crème viscosity,L,a,b,C,h,Average bioaccessibility crème.1,Binding capacity (micromolar),"D [4, 3] - Volume weighted mean (particle size)",Specific surface area,Crème max texture,Crème min texture,Notes,biscuitBioac,custardAvgBioac,biscuitAvgBioac,matrixType,custardBioac
0,Inulin (Orafti®GR),Beneo,C16,CUST06,file email,0,90,0,10,0,3,0.2,,2.2,,,0.603013333,0.64516129,30.68,40.2,1802,,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,30.68,,120.6485,0.1495,68.16666667,-33.33333333,"inulin from chicory. Inulin consists of oligo- and polysaccharides composed of fructose 
units linked together by ß-(2,1)-linkages. Almost every fructose chain 
is terminated by a glucose unit. The number of fructose and glucose 
units in inulin (Degree of Polymerization = DP) ranges mainly 
between 2 and 60.",37.56352936,30.67971511,40.91125251,1,
0,Inulin (Orafti®GR),Beneo,C16,CUST06,file email,0,90,0,10,0,3,0.2,,2.2,,,0.603013333,0.64516129,30.68,40.2,1802,,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,30.68,,120.6485,0.1495,68.16666667,-33.33333333,"inulin from chicory. Inulin consists of oligo- and polysaccharides composed of fructose 
units linked together by ß-(2,1)-linkages. Almost every fructose chain 
is terminated by a glucose unit. The number of fructose and glucose 
units in inulin (Degree of Polymerization = DP) ranges mainly 
between 2 and 60.",39.49432869,30.67971511,40.91125251,1,
0,Inulin (Orafti®GR),Beneo,C16,CUST06,file email,0,90,0,10,0,3,0.2,,2.2,,,0.603013333,0.64516129,30.68,40.2,1802,,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,30.68,,120.6485,0.1495,68.16666667,-33.33333333,"inulin from chicory. Inulin consists of oligo- and polysaccharides composed of fructose 
units linked together by ß-(2,1)-linkages. Almost every fructose chain 
is terminated by a glucose unit. The number of fructose and glucose 
units in inulin (Degree of Polymerization = DP) ranges mainly 
between 2 and 60.",44.69993347,30.67971511,40.91125251,1,
0,Inulin (Orafti®GR),Beneo,C16,CUST06,file email,0,90,0,10,0,3,0.2,,2.2,,,0.603013333,0.64516129,30.68,40.2,1802,,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,30.68,,120.6485,0.1495,68.16666667,-33.33333333,"inulin from chicory. Inulin consists of oligo- and polysaccharides composed of fructose 
units linked together by ß-(2,1)-linkages. Almost every fructose chain 
is terminated by a glucose unit. The number of fructose and glucose 
units in inulin (Degree of Polymerization = DP) ranges mainly 
between 2 and 60.",39.70018908,30.67971511,40.91125251,1,
0,Inulin (Orafti®GR),Beneo,C16,CUST06,file email,0,90,0,10,0,3,0.2,,2.2,,,0.603013333,0.64516129,30.68,40.2,1802,,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,30.68,,120.6485,0.1495,68.16666667,-33.33333333,"inulin from chicory. Inulin consists of oligo- and polysaccharides composed of fructose 
units linked together by ß-(2,1)-linkages. Almost every fructose chain 
is terminated by a glucose unit. The number of fructose and glucose 
units in inulin (Degree of Polymerization = DP) ranges mainly 
between 2 and 60.",40.95172242,30.67971511,40.91125251,1,
0,Inulin (Orafti®GR),Beneo,C16,CUST06,file email,0,90,0,10,0,3,0.2,,2.2,,,0.603013333,0.64516129,30.68,40.2,1802,,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,30.68,,120.6485,0.1495,68.16666667,-33.33333333,"inulin from chicory. Inulin consists of oligo- and polysaccharides composed of fructose 
units linked together by ß-(2,1)-linkages. Almost every fructose chain 
is terminated by a glucose unit. The number of fructose and glucose 
units in inulin (Degree of Polymerization = DP) ranges mainly 
between 2 and 60.",38.44360632,30.67971511,40.91125251,1,
0,Inulin (Orafti®GR),Beneo,C16,CUST06,file email,0,90,0,10,0,3,0.2,,2.2,,,0.603013333,0.64516129,30.68,40.2,1802,,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,30.68,,120.6485,0.1495,68.16666667,-33.33333333,"inulin from chicory. Inulin consists of oligo- and polysaccharides composed of fructose 
units linked together by ß-(2,1)-linkages. Almost every fructose chain 
is terminated by a glucose unit. The number of fructose and glucose 
units in inulin (Degree of Polymerization = DP) ranges mainly 
between 2 and 60.",38.02035025,30.67971511,40.91125251,1,
0,Inulin (Orafti®GR),Beneo,C16,CUST06,file email,0,90,0,10,0,3,0.2,,2.2,,,0.603013333,0.64516129,30.68,40.2,1802,,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,30.68,,120.6485,0.1495,68.16666667,-33.33333333,"inulin from chicory. Inulin consists of oligo- and polysaccharides composed of fructose 
units linked together by ß-(2,1)-linkages. Almost every fructose chain 
is terminated by a glucose unit. The number of fructose and glucose 
units in inulin (Degree of Polymerization = DP) ranges mainly 
between 2 and 60.",35.40086318,30.67971511,40.91125251,1,
0,Inulin (Orafti®GR),Beneo,C16,CUST06,file email,0,90,0,10,0,3,0.2,,2.2,,,0.603013333,0.64516129,30.68,40.2,1802,,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,30.68,,120.6485,0.1495,68.16666667,-33.33333333,"inulin from chicory. Inulin consists of oligo- and polysaccharides composed of fructose 
units linked together by ß-(2,1)-linkages. Almost every fructose chain 
is terminated by a glucose unit. The number of fructose and glucose 
units in inulin (Degree of Polymerization = DP) ranges mainly 
between 2 and 60.",42.07069283,30.67971511,40.91125251,1,
0,Inulin (Orafti®GR),Beneo,C16,CUST06,file email,0,90,0,10,0,3,0.2,,2.2,,,0.603013333,0.64516129,30.68,40.2,1802,,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,30.68,,120.6485,0.1495,68.16666667,-33.33333333,"inulin from chicory. Inulin consists of oligo- and polysaccharides composed of fructose 
units linked together by ß-(2,1)-linkages. Almost every fructose chain 
is terminated by a glucose unit. The number of fructose and glucose 
units in inulin (Degree of Polymerization = DP) ranges mainly 
between 2 and 60.",39.18173026,30.67971511,40.91125251,1,
