,Insoluble fiber,Soluble fiber,Protein,Carbs,Fat,Water,Ash,Exp. oil retention,Exp. Water retention final,Bulk density,Tapped density,Biscuit breaking point,Crème viscosity,L,a,b,C,h,Binding capacity (micromolar),D 4 3 - Volume weighted mean (particle size),Specific surface area,Crème max texture,Crème min texture,Cellulose,Hemicellulose,Maltodextrine,Pectin,Lignin,Fructans,bioaccessibility
0,1e-06,90.0,17.91,137.5,24.78,74.03,1.5999999999999999,2.2,1e-06,0.603013333,0.64516129,1802.0,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,1e-06,120.6485,0.1495,68.16666667,-33.33333333,1e-06,1e-06,1e-06,1e-06,1e-06,90.0,37.56352936
1,1e-06,90.0,17.91,137.5,24.78,74.03,1.5999999999999999,2.2,1e-06,0.603013333,0.64516129,1802.0,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,1e-06,120.6485,0.1495,68.16666667,-33.33333333,1e-06,1e-06,1e-06,1e-06,1e-06,90.0,39.49432869
2,1e-06,90.0,17.91,137.5,24.78,74.03,1.5999999999999999,2.2,1e-06,0.603013333,0.64516129,1802.0,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,1e-06,120.6485,0.1495,68.16666667,-33.33333333,1e-06,1e-06,1e-06,1e-06,1e-06,90.0,44.69993347
3,1e-06,90.0,17.91,137.5,24.78,74.03,1.5999999999999999,2.2,1e-06,0.603013333,0.64516129,1802.0,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,1e-06,120.6485,0.1495,68.16666667,-33.33333333,1e-06,1e-06,1e-06,1e-06,1e-06,90.0,39.70018908
4,1e-06,90.0,17.91,137.5,24.78,74.03,1.5999999999999999,2.2,1e-06,0.603013333,0.64516129,1802.0,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,1e-06,120.6485,0.1495,68.16666667,-33.33333333,1e-06,1e-06,1e-06,1e-06,1e-06,90.0,40.95172242
5,1e-06,90.0,17.91,137.5,24.78,74.03,1.5999999999999999,2.2,1e-06,0.603013333,0.64516129,1802.0,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,1e-06,120.6485,0.1495,68.16666667,-33.33333333,1e-06,1e-06,1e-06,1e-06,1e-06,90.0,38.44360632
6,1e-06,90.0,17.91,137.5,24.78,74.03,1.5999999999999999,2.2,1e-06,0.603013333,0.64516129,1802.0,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,1e-06,120.6485,0.1495,68.16666667,-33.33333333,1e-06,1e-06,1e-06,1e-06,1e-06,90.0,38.02035025
7,1e-06,90.0,17.91,137.5,24.78,74.03,1.5999999999999999,2.2,1e-06,0.603013333,0.64516129,1802.0,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,1e-06,120.6485,0.1495,68.16666667,-33.33333333,1e-06,1e-06,1e-06,1e-06,1e-06,90.0,35.40086318
8,1e-06,90.0,17.91,137.5,24.78,74.03,1.5999999999999999,2.2,1e-06,0.603013333,0.64516129,1802.0,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,1e-06,120.6485,0.1495,68.16666667,-33.33333333,1e-06,1e-06,1e-06,1e-06,1e-06,90.0,42.07069283
9,1e-06,90.0,17.91,137.5,24.78,74.03,1.5999999999999999,2.2,1e-06,0.603013333,0.64516129,1802.0,5831,92.62333333,-10.58333333,18.76,21.54666667,119.3666667,1e-06,120.6485,0.1495,68.16666667,-33.33333333,1e-06,1e-06,1e-06,1e-06,1e-06,90.0,39.18173026
