,feature_preprocessor_type,regressor,data_preprocessor_type,R2,R2normalized,ENSEMBLE WEIGHT,ENSEMBLE WEIGHT normalized,MEAN FIT TIME,MEAN FIT TIME normalized,bootstrap_regressor_hyperparams,criterion_regressor_hyperparams,max_depth_regressor_hyperparams,max_features_regressor_hyperparams,max_leaf_nodes_regressor_hyperparams,min_impurity_decrease_regressor_hyperparams,min_samples_leaf_regressor_hyperparams,min_samples_split_regressor_hyperparams,min_weight_fraction_leaf_regressor_hyperparams,activation_regressor_hyperparams,alpha_regressor_hyperparams,batch_size_regressor_hyperparams,beta_1_regressor_hyperparams,beta_2_regressor_hyperparams,early_stopping_regressor_hyperparams,epsilon_regressor_hyperparams,hidden_layer_depth_regressor_hyperparams,learning_rate_init_regressor_hyperparams,n_iter_no_change_regressor_hyperparams,num_nodes_per_layer_regressor_hyperparams,shuffle_regressor_hyperparams,solver_regressor_hyperparams,tol_regressor_hyperparams,C_regressor_hyperparams,dual_regressor_hyperparams,fit_intercept_regressor_hyperparams,intercept_scaling_regressor_hyperparams,loss_regressor_hyperparams,alpha_1_regressor_hyperparams,alpha_2_regressor_hyperparams,lambda_1_regressor_hyperparams,lambda_2_regressor_hyperparams,n_iter_regressor_hyperparams,threshold_lambda_regressor_hyperparams,n_neighbors_regressor_hyperparams,p_regressor_hyperparams,weights_regressor_hyperparams,average_regressor_hyperparams,learning_rate_regressor_hyperparams,penalty_regressor_hyperparams,eta0_regressor_hyperparams,max_depth_factor_regressor_hyperparams,validation_fraction_regressor_hyperparams,n_estimators_regressor_hyperparams,power_t_regressor_hyperparams,gamma_regressor_hyperparams,kernel_regressor_hyperparams,coef0_regressor_hyperparams,degree_regressor_hyperparams,l1_ratio_regressor_hyperparams,thetaL_regressor_hyperparams,thetaU_regressor_hyperparams,early_stop_regressor_hyperparams,l2_regularization_regressor_hyperparams,max_bins_regressor_hyperparams,scoring_regressor_hyperparams,max_iter_regressor_hyperparams,shrinking_regressor_hyperparams,percentile_feature_hyperparams,score_func_feature_hyperparams,bootstrap_feature_hyperparams,criterion_feature_hyperparams,max_depth_feature_hyperparams,max_features_feature_hyperparams,max_leaf_nodes_feature_hyperparams,min_samples_leaf_feature_hyperparams,min_samples_split_feature_hyperparams,min_weight_fraction_leaf_feature_hyperparams,n_estimators_feature_hyperparams,alpha_feature_hyperparams,mode_feature_hyperparams,0_feature_hyperparams,affinity_feature_hyperparams,linkage_feature_hyperparams,n_clusters_feature_hyperparams,pooling_func_feature_hyperparams,keep_variance_feature_hyperparams,whiten_feature_hyperparams,degree_feature_hyperparams,include_bias_feature_hyperparams,interaction_only_feature_hyperparams,algorithm_feature_hyperparams,fun_feature_hyperparams,n_components_feature_hyperparams,gamma_feature_hyperparams,kernel_feature_hyperparams,coef0_feature_hyperparams,numerical_transformer_imputation_strategy_data_hyperparams,numerical_transformer_rescaling_data_hyperparams,numerical_transformer_rescaling_robust_scaler_q_max_data_hyperparams,numerical_transformer_rescaling_robust_scaler_q_min_data_hyperparams,numerical_transformer_rescaling_quantile_transformer_n_quantiles_data_hyperparams,numerical_transformer_rescaling_quantile_transformer_output_distribution_data_hyperparams
0,select_percentile_regression,random_forest,feature_type,0.2887661443545942,0.2887661443545942,0.02,0.02,6.23851203918457,6.23851203918457,False,friedman_mse,None,0.49024184071789956,None,0.0,7,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.630339040767723,f_regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,most_frequent,none,,,,
1,extra_trees_preproc_for_regression,mlp,feature_type,0.2791343027257889,0.2791343027257889,0.1,0.1,13.717554092407228,13.717554092407228,,,,,,,,,,relu,1.8717856827681902e-05,auto,0.9,0.999,train,1e-08,3,0.0004899298423230862,32,128,True,adam,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,mse,None,0.9954693766494344,None,4,7,0.0,100,,,,,,,,,,,,,,,,,,,median,normalize,,,,
2,extra_trees_preproc_for_regression,random_forest,feature_type,0.2703799372131238,0.2703799372131238,0.0,0.0,10.784005641937256,10.784005641937256,False,friedman_mse,None,0.6648614589186875,None,0.0,8,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,friedman_mse,None,0.99480549847272,None,14,17,0.0,100,,,,,,,,,,,,,,,,,,,mean,robust_scaler,0.8560363286324211,0.1802526539784723,,
3,select_rates_regression,liblinear_svr,feature_type,0.266250760714765,0.266250760714765,0.12,0.12,4.439584255218506,4.439584255218506,,,,,,,,,,,,,,,,0.1399774783846639,,,,,,,0.00013034519199755823,5.147811701576068,False,True,1,squared_epsilon_insensitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f_regression,,,,,,,,,,0.10201868751502319,fwe,,,,,,,,,,,,,,,,,median,robust_scaler,0.860072883126928,0.25670098395500646,,
4,select_percentile_regression,random_forest,feature_type,0.2638910368518775,0.2638910368518775,0.04,0.04,9.162983894348145,9.162983894348145,False,friedman_mse,None,0.9955200843399947,None,0.0,6,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,f_regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,robust_scaler,0.7088849452467341,0.2846892987018524,,
5,,extra_trees,feature_type,0.2638511545344169,0.2638511545344169,0.0,0.0,10.598047256469728,10.598047256469728,False,mse,None,0.6115940405909607,None,0.0,8,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,median,robust_scaler,0.8137900850160076,0.15284914973087976,,
6,random_trees_embedding,random_forest,feature_type,0.2638456756652749,0.2638456756652749,0.0,0.0,12.13924264907837,12.13924264907837,True,mse,None,0.4177138599933615,None,0.0,1,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,8,,None,12,16,1.0,29,,,,,,,,,,,,,,,,,,,most_frequent,normalize,,,,
7,extra_trees_preproc_for_regression,ard_regression,feature_type,0.2637048840799999,0.2637048840799999,0.0,0.0,6.981301307678223,6.981301307678223,,,,,,,,,,,,,,,,,,,,,,,5.495652863252286e-05,,,True,,,0.0004112946761487385,0.00011330646243113707,3.898414955565664e-06,1.080708688627316e-06,300,55772.34958141504,,,,,,,,,,,,,,,,,,,,,,,,,,,True,mae,None,0.8858568355919786,None,7,17,0.0,100,,,,,,,,,,,,,,,,,,,median,none,,,,
8,extra_trees_preproc_for_regression,ard_regression,feature_type,0.2608836399236154,0.2608836399236154,0.0,0.0,6.852150201797485,6.852150201797485,,,,,,,,,,,,,,,,,,,,,,,0.0010000000000000002,,,True,,,3.212985435592287e-05,1.4085103465100345e-06,1.0000000000000004e-06,1.0000000000000004e-06,300,10000.00000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,False,mse,None,0.9837399221550852,None,6,19,0.0,100,,,,,,,,,,,,,,,,,,,mean,robust_scaler,0.7525631484099372,0.24083109457801524,,
9,select_rates_regression,liblinear_svr,feature_type,0.2607673939749684,0.2607673939749684,0.0,0.0,4.190088748931885,4.190088748931885,,,,,,,,,,,,,,,,0.1445811055849004,,,,,,,0.00010745745688872081,5.130101470820839,False,True,1,squared_epsilon_insensitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f_regression,,,,,,,,,,0.10697911533776853,fwe,,,,,,,,,,,,,,,,,mean,robust_scaler,0.9111369180283057,0.1062440157204252,,
